"propertyCode","thumbnail","propertyType","operation","price","size","priceByArea","rooms","bathrooms","floor","exterior","hasLift","parkingSpace.hasParkingSpace","address","municipality","province","url","description","contactInfo.commercialName","contactInfo.contactName","contactInfo.phone1.phoneNumber"
"34949419","https://img4.idealista.pt/blur/WEB_DETAIL_TOP-XL-P/0/id.pro.pt.image.master/af/dc/53/314029658.jpg","flat","sale","287500","104","2764","2","1",,,"true",,"Ajuda - Amparo - Piornais","São Martinho","Madeira (Ilha)","https://www.idealista.pt/imovel/34949419/"," **** CRYPTO ACCEPTED **** ** LEGALISED BY NOTARY ** * find out more - contact us * Caminho do Amparo | Edificio Várzea Park Ter a oportunidade de adquirir um T2 no Funchal a preço acessível ainda é possivel. No Edificio Várzea Park neste momento em requalificação ficando ainda mais valorizado, encontra este apartamento T2 duplex com varanda generosa, vista e exposição solar. Dispõe ainda de estacionamento amplo e arrecadação junto ao mesmo. Seja para viver ou colocar no mercado de arrendamento aqui terá um investimento com retorno garantido? Não perca a oportunidade Ligue Já Ricardo Canada Chamada para a rede móvel nacional.","Prediclub - AMI 10701","Prediclub","291097075"
"34943728","https://img4.idealista.pt/blur/WEB_DETAIL_TOP-XL-P/0/id.pro.pt.image.master/1b/41/b8/313789665.jpg","flat","sale","330000","150","2200","3","2","1",,"false",,"Água de Pena","Água de Pena","Madeira (Ilha)","https://www.idealista.pt/imovel/34943728/","Excelente apartamento T3 Duplex com garagem em Box de 60m2 e arrecadação! Este imóvel encontra-se em Água de Pena, Machico, a 2minutos da entrada e saída da via rápida, bem próximo ao antigo complexo da Matur! Um apartamento com uma boa distribuição e excelentes áreas! No piso zero temos a zona social com Hall de entrada, Cozinha com lavandaria, Sala e WC social e no andar superior 3 quartos de dormir, sendo um deles com varanda e um WC completo! O imóvel é vendido mobilado e equipado, incluído Ar condicionado! CASAS & TETO - Mediação Imobiliária, Lda. Somos intermediários de crédito certificados e ajudamos-lhe a encontrar as melhores soluções do mercado! Aproveite este serviço gratuito que temos para lhe oferecer; ""A informação disponibilizada, embora precisa é meramente informativa, pelo que não pode ser considerada vinculativa, e poderá ser sujeita a alterações. "".","Casas & Teto","CASAS E TETO","291095477"
"34949155","https://img4.idealista.pt/blur/WEB_DETAIL_TOP-XL-P/0/id.pro.pt.image.master/d9/74/9f/314022473.jpg","flat","sale","350000","111","3153","2","2","3",,"true","true","Caniço","Caniço","Madeira (Ilha)","https://www.idealista.pt/imovel/34949155/","Elegância, conforto e qualidade de vida no Caniço  Apresentamos este sofisticado apartamento T2, localizado numa das zonas mais prestigiadas do Caniço, onde modernidade e bem-estar se unem na perfeição. Com áreas amplas e excelente exposição solar, este imóvel destaca-se pela sua luminosidade natural e pela harmoniosa distribuição dos espaços. Conta com dois quartos generosos, incluindo uma elegante suíte, e duas casas de banho completas com acabamentos de elevada qualidade. A zona social oferece uma sala espaçosa e acolhedora, ideal para momentos de convívio, em perfeita ligação com uma cozinha moderna, totalmente equipada e funcional — pensada para o dia a dia com conforto e praticidade. Inserido num condomínio privado, dispõe ainda de acesso a uma piscina exclusiva, perfeita para desfrutar do clima ameno da Madeira durante todo o ano. � Situado numa área tranquila, com proximidade a serviços, comércio e principais acessos, este imóvel é a escolha ideal para quem valoriza conforto, estilo e qualidade de vida. � Uma oportunidade única que não vai querer perder.","Rubina Gouveia","Rubina Gouveia","291092702"
"34949044","https://img4.idealista.pt/blur/WEB_DETAIL_TOP-XL-P/0/id.pro.pt.image.master/6e/d4/71/314014905.jpg","flat","sale","345000","89","3876","2","1","bj",,"false","true","avenida da Madalena","Santo António","Madeira (Ilha)","https://www.idealista.pt/imovel/34949044/","Apartamento T2 Totalmente Remodelado – Avenida da Madalena - Funchal Apresenta-se este excelente apartamento T2, totalmente remodelado, localizado na prestigiada Avenida da Madalena. O imóvel foi alvo de uma renovação completa, incluindo substituição de pavimentos, caixilharias (alumínios), instalação de novos eletrodomésticos, cozinha moderna, pintura geral e eletricidade — oferecendo assim conforto, eficiência e um ambiente contemporâneo. Dispõe de: * Dois quartos amplos, com boas áreas * Sala luminosa e acolhedora * Cozinha totalmente equipada e funcional * Varanda com excelente exposição solar * Vista desafogada sobre a cidade e o mar Inserido numa zona privilegiada, o apartamento beneficia de uma vasta oferta de serviços e comodidades nas proximidades, incluindo transportes públicos, supermercados, padarias, bancos e farmácias, proporcionando uma elevada qualidade de vida e conveniência no dia a dia. Ideal para habitação própria ou investimento. Não perca esta oportunidade — marque já a sua visita!","Francisco Andrade KW","Francisco Andrade KW","291095420"
"34946956","https://img4.idealista.pt/blur/WEB_DETAIL_TOP-XL-P/0/id.pro.pt.image.master/df/60/60/313998053.jpg","flat","sale","295000","93","3172","2","2","1",,"true","true","rua da Escola, 2","Caniço","Madeira (Ilha)","https://www.idealista.pt/imovel/34946956/","**Apartamento T2 no Caniço - Oportunidade Imperdível! ** Descubra este encantador apartamento T2, localizado no coração do Caniço, ideal para quem busca conforto e praticidade. Situado no primeiro andar de um edifício moderno, este imóvel de 93 m² apresenta uma excelente distribuição dos espaços. Com dois quartos, sendo um deles uma suíte com casa de banho privativa, e uma segunda casa de banho, é perfeito para famílias ou para quem recebe visitas. A sala comum é ampla e luminosa, com acesso direto a uma varanda que proporciona uma vista agradável e boa exposição solar. A cozinha, igualmente espaçosa e equipada com eletrodomésticos modernos como placa de fogão a gás, forno, micro-ondas e máquina de lavar loiça, é um convite para preparar deliciosas refeições. Além disso, a lavandaria equipada oferece ainda mais conveniência. O hall de entrada acolhedor e os armários embutidos garantem organização e funcionalidade. Este apartamento foi recentemente remodelado e pintado, encontrando-se em perfeitas condições para receber novos moradores. A localização é privilegiada, com supermercados, farmácias, restaurantes e cafés a poucos passos de distância. Com um lugar de garagem incluído no preço e um elevador que facilita o acesso, este imóvel é uma excelente escolha para quem valoriza conforto e praticidade no dia a dia. Não perca a chance de visitar este maravilhoso apartamento que pode ser o seu novo lar!","JHC-Sociedade de Mediação Imobiliária","José","291095678"
"34946441","https://img4.idealista.pt/blur/WEB_DETAIL_TOP-XL-P/0/id.pro.pt.image.master/3b/38/a8/313905797.jpg","flat","sale","250000","96","2604","2","1","3",,"false","true","estrada do Tranqual","Campanário","Madeira (Ilha)","https://www.idealista.pt/imovel/34946441/","Apartamento T2-Campanário Apresentamos este apartamento T2 localizado no Campanário, inserido numa zona residencial tranquila e elevada, que beneficia de uma envolvente natural e de agradáveis vistas sobre o oceano Atlântico desde a sala. O imóvel destaca-se pela sua luminosidade, proporcionando um ambiente sereno e confortável. A zona social desenvolve-se através de uma sala de estar com boas dimensões, permitindo usufruir de uma vista desafogada e de excelente exposição solar. A cozinha apresenta uma configuração funcional e prática, equipada e com ligação a uma zona de lavandaria independente, garantindo maior comodidade no dia a dia. Na zona privada, o apartamento dispõe de dois quartos com áreas generosas e boa entrada de luz natural, oferecendo conforto e versatilidade, quer para habitação própria, quer para investimento. A casa de banho apresenta linhas simples e funcionais. Inserido em edifício com estacionamento, o imóvel inclui ainda lugar de garagem, acrescentando conveniência e segurança. A localização no Campanário permite um equilíbrio entre tranquilidade e acessibilidade, estando a poucos minutos dos principais acessos rodoviários, serviços e comércio local. Uma oportunidade interessante para quem procura um apartamento funcional, com vista mar e inserido numa zona calma da Madeira.","Victor Indaburo | Real Estate Agent","Victor","241095237"
"34941586","https://img4.idealista.pt/blur/WEB_DETAIL_TOP-XL-P/0/id.pro.pt.image.master/55/a0/51/313677984.jpg","flat","sale","270000","93","2903","2","1","1",,"true","true","caminho da Cancela","São Gonçalo","Madeira (Ilha)","https://www.idealista.pt/imovel/34941586/","Procura um equilíbrio perfeito entre a tranquilidade de residir fora do centro e a facilidade de ter tudo à mão? Este fantástico Apartamento T2, localizado na zona da Cancela, é a escolha ideal. O imóvel destaca-se pela sua funcionalidade e, acima de tudo, pela sua localização central, permitindo-lhe ganhar o que há de mais precioso: tempo. Características Principais: Tipologia: T2 (2 quartos luminosos). Casa de Banho: 1 casa de banho completa. Estacionamento: 1 lugar de garagem privativo (puesto de estacionamiento). Estado: Pronto a habitar, com excelente distribuição de espaços. Localização e Serviços: Viver na Cancela é sinónimo de conveniência. Este apartamento coloca-o no ""coração"" de uma zona servida por tudo o que necessita para o dia-a-dia: Serviços à porta: A poucos metros de grandes supermercados, farmácias, cafés, ginásios e comércio variado. Rapidez de Acessos: Acesso imediato à via rápida, facilitando qualquer deslocação. Proximidade Estratégica: A apenas 5-7 minutos do Funchal. A cerca de 10 minutos do Aeroporto Internacional. Oportunidade: Seja para o seu novo lar ou para rentabilizar no mercado de arrendamento, a localização deste T2 garante sempre uma elevada procura e valorização. Não perca esta oportunidade de morar perto de tudo!","Alex Freitas ","Alex","291095554"
"34941028","https://img4.idealista.pt/blur/WEB_DETAIL_TOP-XL-P/0/id.pro.pt.image.master/f4/28/35/313657191.jpg","flat","sale","270000","93","2903","2","1","2",,"true","true","estrada do Aeroporto s/n","Caniço","Madeira (Ilha)","https://www.idealista.pt/imovel/34941028/","Procura um equilíbrio perfeito entre a tranquilidade de residir fora do centro e a facilidade de ter tudo à mão? Este fantástico Apartamento T2, localizado na zona da Cancela, é a escolha ideal. O imóvel destaca-se pela sua funcionalidade e, acima de tudo, pela sua localização central, permitindo-lhe ganhar o que há de mais precioso: tempo. Características Principais: Tipologia: T2 (2 quartos luminosos). Casa de Banho: 1 casa de banho completa. Estacionamento: 1 lugar de garagem privativo (puesto de estacionamiento). Estado: Pronto a habitar, com excelente distribuição de espaços. Localização e Serviços: Viver na Cancela é sinónimo de conveniência. Este apartamento coloca-o no ""coração"" de uma zona servida por tudo o que necessita para o dia-a-dia: Serviços à porta: A poucos metros de grandes supermercados, farmácias, cafés, ginásios e comércio variado. Rapidez de Acessos: Acesso imediato à via rápida, facilitando qualquer deslocação. Proximidade Estratégica: A apenas 5-7 minutos do Funchal. A cerca de 10 minutos do Aeroporto Internacional. Oportunidade: Seja para o seu novo lar ou para rentabilizar no mercado de arrendamento, a localização deste T2 garante sempre uma elevada procura e valorização. Não perca esta oportunidade de morar perto de tudo!","Nídia Mendes - Kw Área Madeira","Cristina","291097024"
"34937650","https://img4.idealista.pt/blur/WEB_DETAIL_TOP-XL-P/0/id.pro.pt.image.master/e6/17/65/313526702.jpg","chalet","sale","350000","306","1144","3","2",,,,,"Calheta","Calheta","Madeira (Ilha)","https://www.idealista.pt/imovel/34937650/","✨ CALHETA ✨ - Esta moradia com tranquilidade, vista e conforto é composta por 3 quartos de dormir, 2 casas de banho, sala, cozinha, arrecadação e um jardim com vista mar e montanha. - Esta moradia destaca-se por ser uma moradia tradicional e com muitos detalhes rústicos. Todos eles em excelente estado!",,"Rodney","964405483"
"34927024","https://img4.idealista.pt/blur/WEB_DETAIL_TOP-XL-P/0/id.pro.pt.image.master/eb/ac/e0/313083825.jpg","chalet","sale","300000","382","785","3","1",,,,,"Faial","Faial","Madeira (Ilha)","https://www.idealista.pt/imovel/34927024/","Apresentamos esta moradia T3 para remodelação, situada no Lombo Lourenço, no coração do Faial – Santana, uma zona cada vez mais procurada pela sua tranquilidade, beleza natural e proximidade a diversos pontos de interesse. Implantada numa localização privilegiada, esta propriedade destaca-se pela sua vista mar soberba, oferecendo um cenário único e relaxante, ideal tanto para habitação própria como para investimento. Com uma estrutura sólida e áreas generosas, esta moradia apresenta um enorme potencial de valorização, podendo ser transformada em vários apartamentos, tornando-se numa excelente oportunidade de rentabilização. A zona do Faial é conhecida pelo seu ambiente calmo e autêntico, rodeado pela natureza e com fácil acesso a trilhos, miradouros e zonas balneares. A poucos minutos encontra supermercados, cafés, restaurantes, escola, igreja e outros serviços essenciais, garantindo comodidade no dia a dia. A proximidade à cidade de Santana permite ainda usufruir de todas as infraestruturas e serviços adicionais, mantendo ao mesmo tempo a serenidade típica desta localidade. Se procura um imóvel com potencial, numa localização estratégica e com uma vista deslumbrante, esta é uma oportunidade que não pode deixar escapar. Marque já a sua visita e venha descobrir todo o potencial deste imóvel!","KW ALFA MADEIRA","Paulo Meneses","291095623"
